zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Orexa	89.19	95.95	100	GIPUZKOA	111	c. Menos de 5.001	menosde5001
Orio	62.75	80.79	90.1	GIPUZKOA	6107	b. De 5.001 a 10.000	de5001a10000
Ormaiztegi	62.78	81.39	100	GIPUZKOA	1252	c. Menos de 5.001	menosde5001
Pasaia	28.15	55.27	88.3	GIPUZKOA	16612	a. Más de 10.000	másde10000
Segura	73.51	88.89	100	GIPUZKOA	1476	c. Menos de 5.001	menosde5001
Soraluze-Placencia de las Armas	43.07	66.84	100	GIPUZKOA	3838	c. Menos de 5.001	menosde5001
Tolosa	56.65	77.6	88.7	GIPUZKOA	19688	a. Más de 10.000	másde10000
Urnieta	42	68.53	94.3	GIPUZKOA	6172	b. De 5.001 a 10.000	de5001a10000
Urretxu	46.12	69.97	90.5	GIPUZKOA	6835	b. De 5.001 a 10.000	de5001a10000
Usurbil	59.73	79.36	97.3	GIPUZKOA	6146	b. De 5.001 a 10.000	de5001a10000
Villabona	54.58	75.76	95.1	GIPUZKOA	5755	b. De 5.001 a 10.000	de5001a10000
Zaldibia	72.86	86.07	100	GIPUZKOA	1636	c. Menos de 5.001	menosde5001
Zarautz	56.8	79.95	86.9	GIPUZKOA	23243	a. Más de 10.000	másde10000
Zegama	72.37	87.28	100	GIPUZKOA	1556	c. Menos de 5.001	menosde5001
Zerain	86.74	94.53	83.3	GIPUZKOA	279	c. Menos de 5.001	menosde5001
Zestoa	70.46	87.09	100	GIPUZKOA	3781	c. Menos de 5.001	menosde5001
Zizurkil	53.66	74.71	100	GIPUZKOA	2926	c. Menos de 5.001	menosde5001
Zumaia	61.14	80.32	97.7	GIPUZKOA	9983	b. De 5.001 a 10.000	de5001a10000
Zumarraga	36.95	62.33	74.4	GIPUZKOA	9626	b. De 5.001 a 10.000	de5001a10000
test	0	0	0		0		test
test	100	100	100		0		test
Todos							Todos
Araba							Araba
Gipuzkoa							Gipuzkoa
Bizkaia							Bizkaia
