zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Todos						
Araba						
Gipuzkoa						
Bizkaia			
Abaltzisketa	86.32	94.1	100	gipuzkoa	307	c. Menos de 5.001
Aduna	77.62	93.13	100	gipuzkoa	478	c. Menos de 5.001
Aia	75.11	89.92	100	gipuzkoa	2033	c. Menos de 5.001
Aizarnazabal	71.08	87.29	100	gipuzkoa	771	c. Menos de 5.001
Ajangiz	75.11	94.34	100	bizkaia	466	c. Menos de 5.001
Albiztur	83.77	92.59	100	gipuzkoa	302	c. Menos de 5.001
Alegia	64.81	81.04	100	gipuzkoa	1816	c. Menos de 5.001
Alegría-Dulantzi	13.8	48.73	57.1	araba	3117	c. Menos de 5.001
Alkiza	79.6	92.44	100	gipuzkoa	348	c. Menos de 5.001
Alonsotegi	12.63	44.36	53	bizkaia	2946	c. Menos de 5.001
Altzaga	81.18	91.12	100	gipuzkoa	170	c. Menos de 5.001
Altzo	79.04	91.37	100	gipuzkoa	396	c. Menos de 5.001
Amezketa	82.31	91.38	100	gipuzkoa	927	c. Menos de 5.001
Amoroto	77.59	92.11	100	bizkaia	406	c. Menos de 5.001
Añana	5.14	36.05	25	araba	175	c. Menos de 5.001
Anoeta	59.33	78.36	94.1	gipuzkoa	2112	c. Menos de 5.001
Antzuola	62.49	81.24	92.3	gipuzkoa	2146	c. Menos de 5.001
Arakaldo	40	65.18	66.7	bizkaia	170	c. Menos de 5.001
Arama	73.66	86.45	88.9	gipuzkoa	205	c. Menos de 5.001
Aramaio	65.55	89.6	87.5	araba	1495	c. Menos de 5.001
Arantzazu	56.12	81.96	100	bizkaia	417	c. Menos de 5.001
Areatza	42.13	70.77	83.3	bizkaia	1258	c. Menos de 5.001
Armiñón	8.93	38.57	33.3	araba	224	c. Menos de 5.001
Arraia-Maeztu	11.19	42.34	40	araba	795	c. Menos de 5.001
Arrankudiaga	38.87	70.73	54.5	bizkaia	1011	c. Menos de 5.001
Arratzu	75.6	91.73	100	bizkaia	414	c. Menos de 5.001
Arratzua-Ubarrundia	12.92	45.03	75	araba	1060	c. Menos de 5.001
Arrieta	57.37	84.62	83.3	bizkaia	563	c. Menos de 5.001
Artea	60.75	82.61	100	bizkaia	749	c. Menos de 5.001
Artzentales	11.24	39.08	40	bizkaia	712	c. Menos de 5.001
Artziniega	14.29	46.75	58.3	araba	1862	c. Menos de 5.001
Asparrena	15.87	45.7	50	araba	1657	c. Menos de 5.001
Asteasu	71.08	86.75	100	gipuzkoa	1518	c. Menos de 5.001
Ataun	76.57	90.79	100	gipuzkoa	1707	c. Menos de 5.001
Atxondo	47.71	73.6	88.9	bizkaia	1373	c. Menos de 5.001
Aulesti	82.32	92.31	60	bizkaia	639	c. Menos de 5.001
Ayala/Aiara	14.04	51.45	71.4	araba	2913	c. Menos de 5.001
Bakio	41.28	72.15	82.8	bizkaia	2781	c. Menos de 5.001
Baliarrain	83.87	91.89	100	gipuzkoa	155	c. Menos de 5.001
Baños de Ebro/Mañueta	5.83	27.6	0	araba	309	c. Menos de 5.001
Barrika	25.16	58.12	66.7	bizkaia	1590	c. Menos de 5.001
Barrundia	15.52	49.13	85.7	araba	928	c. Menos de 5.001
Bedia	38.6	67.31	100	bizkaia	1075	c. Menos de 5.001
Beizama	84.75	93.59	100	gipuzkoa	118	c. Menos de 5.001
Belauntza	71.69	88.06	100	gipuzkoa	272	c. Menos de 5.001
Berantevilla	4.18	28.16	33.3	araba	502	c. Menos de 5.001
Berastegi	79.12	93.22	100	gipuzkoa	1073	c. Menos de 5.001
Bernedo	9.78	35.45	50	araba	542	c. Menos de 5.001
Berriatua	68.25	86.41	100	bizkaia	1244	c. Menos de 5.001
