zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Berriz	36.95	65.74	85.7	bizkaia	4541	c. Menos de 5.001
Berrobi	67.33	87.52	100	gipuzkoa	603	c. Menos de 5.001
Bidania-Goiatz	70.02	88.92	60	gipuzkoa	537	c. Menos de 5.001
Busturia	46.3	73.78	100	bizkaia	1650	c. Menos de 5.001
Campezo/Kanpezu	12.47	41.54	57.1	araba	1099	c. Menos de 5.001
Dima	65.45	89.77	100	bizkaia	1476	c. Menos de 5.001
Ea	67.02	86.59	100	bizkaia	843	c. Menos de 5.001
Elantxobe	79.19	91.23	100	bizkaia	346	c. Menos de 5.001
Elburgo/Burgelu	9.02	44.5	66.7	araba	654	c. Menos de 5.001
Elciego	5.45	32	33.3	araba	1027	c. Menos de 5.001
Elduain	85.83	93.43	100	gipuzkoa	240	c. Menos de 5.001
Elgeta	64.41	83.27	92.9	gipuzkoa	1121	c. Menos de 5.001
Elvillar/Bilar	6.96	28.57	50	araba	345	c. Menos de 5.001
Ereño	77.01	91.08	100	bizkaia	274	c. Menos de 5.001
Errezil	83.76	95.18	100	gipuzkoa	585	c. Menos de 5.001
Erriberagoitia/Ribera Alta	6.04	38.6	16.7	araba	878	c. Menos de 5.001
Errigoiti	65.71	88.2	60	bizkaia	487	c. Menos de 5.001
Eskoriatza	43.45	68.26	90.3	gipuzkoa	4131	c. Menos de 5.001
Etxebarria	76.41	88.68	71	bizkaia	708	c. Menos de 5.001
Ezkio-Itsaso	75.24	87.4	100	gipuzkoa	638	c. Menos de 5.001
Forua	65.22	83.81	80	bizkaia	920	c. Menos de 5.001
Fruiz	55.66	82.47	75	bizkaia	548	c. Menos de 5.001
Gabiria	78.33	92.03	100	gipuzkoa	526	c. Menos de 5.001
Gaintza	83.72	91.6	100	gipuzkoa	129	c. Menos de 5.001
Galdames	12.38	43.55	25	bizkaia	840	c. Menos de 5.001
Gamiz-Fika	56.39	82.49	57.1	bizkaia	1378	c. Menos de 5.001
Garai	67.71	88.13	100	bizkaia	319	c. Menos de 5.001
Gatika	50.48	78.85	85.7	bizkaia	1668	c. Menos de 5.001
Gautegiz Arteaga	59.86	85.15	100	bizkaia	872	c. Menos de 5.001
Gaztelu	84.92	92.49	100	gipuzkoa	179	c. Menos de 5.001
Getaria	71.57	86.4	95.2	gipuzkoa	2839	c. Menos de 5.001
Gizaburuaga	78.64	88.59	66.7	bizkaia	206	c. Menos de 5.001
Gordexola	12.54	44.15	55.6	bizkaia	1715	c. Menos de 5.001
Harana/Valle de Arana	2.93	23.11	100	araba	239	c. Menos de 5.001
Hernialde	73.21	85.71	100	gipuzkoa	321	c. Menos de 5.001
Ibarra	54.15	75.22	93.3	gipuzkoa	4179	c. Menos de 5.001
Ibarrangelu	61.64	85.52	61.1	bizkaia	683	c. Menos de 5.001
Idiazabal	71.75	86.75	65	gipuzkoa	2336	c. Menos de 5.001
Igorre	50.76	75.51	100	bizkaia	4224	c. Menos de 5.001
Ikaztegieta	64.71	81.91	100	gipuzkoa	476	c. Menos de 5.001
Iruña Oka/Iruña de Oca	8.74	43.69	58.8	araba	3534	c. Menos de 5.001
Irura	56.34	80.15	88.2	gipuzkoa	1837	c. Menos de 5.001
Iruraiz-Gauna	10.82	43.47	33.3	araba	564	c. Menos de 5.001
Ispaster	72.13	87.11	100	bizkaia	757	c. Menos de 5.001
Itsasondo	60.74	79.73	100	gipuzkoa	675	c. Menos de 5.001
Iurreta	33.33	58.74	86.5	bizkaia	3639	c. Menos de 5.001
Izurtza	54.72	81.6	100	bizkaia	254	c. Menos de 5.001
Karrantza Harana/Valle de Carranza	8.51	33.07	44.8	bizkaia	2784	c. Menos de 5.001
Kortezubi	76.18	91.04	100	bizkaia	445	c. Menos de 5.001
Kripan	6.08	33.15	25	araba	181	c. Menos de 5.001
Kuartango	11.68	38.85	100	araba	394	c. Menos de 5.001
Labastida/Bastida	10.14	44.37	37.5	araba	1598	c. Menos de 5.001
Lagrán	5.43	25.14	50	araba	184	c. Menos de 5.001
Laguardia	7.11	34.28	23.5	araba	1532	c. Menos de 5.001
Lanciego/Lantziego	7.52	34.57	16.7	araba	731	c. Menos de 5.001
Lanestosa	9.86	28.09	0	bizkaia	284	c. Menos de 5.001
Lantarón	3.95	24.23	20	araba	962	c. Menos de 5.001
Lapuebla de Labarca	10.17	37.81	14	araba	865	c. Menos de 5.001
Larrabetzu	55.8	81.05	100	bizkaia	2102	c. Menos de 5.001
Larraul	75.86	90	100	gipuzkoa	261	c. Menos de 5.001
Laukiz	32.99	65.73	55.6	bizkaia	1249	c. Menos de 5.001
Leaburu	74.18	86.13	100	gipuzkoa	368	c. Menos de 5.001
Legorreta	56.23	77.44	100	gipuzkoa	1485	c. Menos de 5.001
Legutio	18.91	51.18	42.9	araba	1978	c. Menos de 5.001
Leintz Gatzaga	65.49	88.05	100	gipuzkoa	226	c. Menos de 5.001
Lemoa	37.86	66.92	100	bizkaia	3531	c. Menos de 5.001
Lemoiz	34.39	67.89	100	bizkaia	1320	c. Menos de 5.001
Leza	6.91	29.67	66.7	araba	217	c. Menos de 5.001
Lezama	42.26	72.92	72.7	bizkaia	2404	c. Menos de 5.001
Lizartza	69.44	86.73	100	gipuzkoa	648	c. Menos de 5.001
Loiu	26.56	60.71	69.2	bizkaia	2259	c. Menos de 5.001
Mallabia	52.37	77.53	100	bizkaia	1180	c. Menos de 5.001
Mañaria	63.37	84.51	100	bizkaia	516	c. Menos de 5.001
Maruri-Jatabe	42.98	73	41.7	bizkaia	961	c. Menos de 5.001
Meñaka	61.23	85.17	100	bizkaia	730	c. Menos de 5.001
Mendaro	57.19	77.86	100	gipuzkoa	2002	c. Menos de 5.001
Mendata	72.77	86.97	100	bizkaia	404	c. Menos de 5.001
Mendexa	68.89	88.48	100	bizkaia	450	c. Menos de 5.001
Moreda de Álava/Moreda Araba	5.47	26.28	50	araba	256	c. Menos de 5.001
Morga	73.92	88.93	100	bizkaia	418	c. Menos de 5.001
Mundaka	49.63	76.47	100	bizkaia	1878	c. Menos de 5.001
Munitibar-Arbatzegi Gerrikaitz	72.02	86.67	100	bizkaia	486	c. Menos de 5.001
Murueta	63.29	85.53	66.7	bizkaia	316	c. Menos de 5.001
Mutiloa	73.33	91.35	100	gipuzkoa	240	c. Menos de 5.001
Muxika	69.88	88.97	100	bizkaia	1471	c. Menos de 5.001
Nabarniz	75.67	93.77	100	bizkaia	263	c. Menos de 5.001
Navaridas	5.86	28.38	33.3	araba	222	c. Menos de 5.001
Okondo	15.12	49.87	62.5	araba	1177	c. Menos de 5.001
Olaberria	43.68	65.73	100	gipuzkoa	950	c. Menos de 5.001
Orendain	76	91.55	100	gipuzkoa	225	c. Menos de 5.001
Orexa	89.19	95.95	100	gipuzkoa	111	c. Menos de 5.001
Ormaiztegi	62.78	81.39	100	gipuzkoa	1252	c. Menos de 5.001
Orozko	42.96	73.02	71.4	bizkaia	2733	c. Menos de 5.001
Otxandio	53.71	79.28	100	bizkaia	1346	c. Menos de 5.001
Oyón-Oion	6.9	32.72	18.2	araba	3567	c. Menos de 5.001
Peñacerrada-Urizaharra	7.48	36.19	100	araba	321	c. Menos de 5.001
Plentzia	20.34	54.39	55.6	bizkaia	4523	c. Menos de 5.001
Ribera Baja/Erribera Beitia	6.68	33.14	37.5	araba	1572	c. Menos de 5.001
Samaniego	11.3	41.32	0	araba	292	c. Menos de 5.001
San Millán/Donemiliaga	17.08	43.49	50	araba	732	c. Menos de 5.001
Segura	73.51	88.89	100	gipuzkoa	1476	c. Menos de 5.001
Sondika	22.81	56.03	100	bizkaia	4516	c. Menos de 5.001
Sopuerta	12.86	42.86	61.5	bizkaia	2628	c. Menos de 5.001
Soraluze-Placencia de las Armas	43.07	66.84	100	gipuzkoa	3838	c. Menos de 5.001
Sukarrieta	48.74	73.38	0	bizkaia	357	c. Menos de 5.001
Trucios-Turtzioz	7.99	33.3	0	bizkaia	513	c. Menos de 5.001
Ubide	50.89	75.45	100	bizkaia	169	c. Menos de 5.001
Ugao-Miraballes	23.64	55.25	95.7	bizkaia	4094	c. Menos de 5.001
Urduliz	25.43	61.14	72	bizkaia	4955	c. Menos de 5.001
Urduña/Orduña	10.89	43.13	100	bizkaia	4178	c. Menos de 5.001
Urkabustaiz	18.3	51.23	18.8	araba	1448	c. Menos de 5.001
Valdegovía/Gaubea	8.56	30.99	8.3	araba	1122	c. Menos de 5.001
Villabuena de Álava/Eskuernaga	9.25	31.01	0	araba	292	c. Menos de 5.001
Yécora/Iekora	4.56	24.33	25	araba	263	c. Menos de 5.001
Zaldibar	33.34	62.68	80	bizkaia	3032	c. Menos de 5.001
Zaldibia	72.86	86.07	100	gipuzkoa	1636	c. Menos de 5.001
Zalduondo	24.88	55.39	66.7	araba	205	c. Menos de 5.001
Zambrana	5.94	27.15	33.3	araba	438	c. Menos de 5.001
Zamudio	30.25	59.26	69.2	bizkaia	3223	c. Menos de 5.001
Zaratamo	23.78	56.08	70.6	bizkaia	1644	c. Menos de 5.001
Zeanuri	65.94	87.35	100	bizkaia	1233	c. Menos de 5.001
Zeberio	53.62	80.21	100	bizkaia	1078	c. Menos de 5.001
Zegama	72.37	87.28	100	gipuzkoa	1556	c. Menos de 5.001
Zerain	86.74	94.53	83.3	gipuzkoa	279	c. Menos de 5.001
Zestoa	70.46	87.09	100	gipuzkoa	3781	c. Menos de 5.001
Zierbena	10.88	44.46	83.3	bizkaia	1517	c. Menos de 5.001
Zigoitia	14.83	49.53	100	araba	1827	c. Menos de 5.001
Ziortza-Bolibar	80.99	91.35	100	bizkaia	426	c. Menos de 5.001
Zizurkil	53.66	74.71	100	gipuzkoa	2926	c. Menos de 5.001
Zuia	15.74	51.05	83.3	araba	2345	c. Menos de 5.001
test	0	0	0		0	
test	100	100	100		0				
