zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Lezama	42.26	72.92	72.7	BIZKAIA	2404	c. Menos de 5.001	menosde5001
Loiu	26.56	60.71	69.2	BIZKAIA	2259	c. Menos de 5.001	menosde5001
Mallabia	52.37	77.53	100	BIZKAIA	1180	c. Menos de 5.001	menosde5001
Mañaria	63.37	84.51	100	BIZKAIA	516	c. Menos de 5.001	menosde5001
Markina-Xemein	62.54	82.19	88.5	BIZKAIA	5032	b. De 5.001 a 10.000	de5001a10000
Maruri-Jatabe	42.98	73	41.7	BIZKAIA	961	c. Menos de 5.001	menosde5001
Meñaka	61.23	85.17	100	BIZKAIA	730	c. Menos de 5.001	menosde5001
Mendata	72.77	86.97	100	BIZKAIA	404	c. Menos de 5.001	menosde5001
Mendexa	68.89	88.48	100	BIZKAIA	450	c. Menos de 5.001	menosde5001
Morga	73.92	88.93	100	BIZKAIA	418	c. Menos de 5.001	menosde5001
Mundaka	49.63	76.47	100	BIZKAIA	1878	c. Menos de 5.001	menosde5001
Mungia	36.59	66.15	90.4	BIZKAIA	17324	a. Más de 10.000	másde10000
Munitibar-Arbatzegi Gerrikaitz	72.02	86.67	100	BIZKAIA	486	c. Menos de 5.001	menosde5001
Murueta	63.29	85.53	66.7	BIZKAIA	316	c. Menos de 5.001	menosde5001
Muskiz	11.37	45.22	50	BIZKAIA	7289	b. De 5.001 a 10.000	de5001a10000
Muxika	69.88	88.97	100	BIZKAIA	1471	c. Menos de 5.001	menosde5001
Nabarniz	75.67	93.77	100	BIZKAIA	263	c. Menos de 5.001	menosde5001
Ondarroa	68.45	82.8	97.9	BIZKAIA	8451	b. De 5.001 a 10.000	de5001a10000
Orozko	42.96	73.02	71.4	BIZKAIA	2733	c. Menos de 5.001	menosde5001
Ortuella	10.57	41.44	54	BIZKAIA	8319	b. De 5.001 a 10.000	de5001a10000
Otxandio	53.71	79.28	100	BIZKAIA	1346	c. Menos de 5.001	menosde5001
Plentzia	20.34	54.39	55.6	BIZKAIA	4523	c. Menos de 5.001	menosde5001
Portugalete	9.31	36.87	30.5	BIZKAIA	45677	a. Más de 10.000	másde10000
Santurtzi	9.17	38.46	53.7	BIZKAIA	45661	a. Más de 10.000	másde10000
Sestao	8.72	35.83	33	BIZKAIA	26896	a. Más de 10.000	másde10000
Sondika	22.81	56.03	100	BIZKAIA	4516	c. Menos de 5.001	menosde5001
Sopelana	23.43	59.56	73.3	BIZKAIA	13273	a. Más de 10.000	másde10000
Sopuerta	12.86	42.86	61.5	BIZKAIA	2628	c. Menos de 5.001	menosde5001
Sukarrieta	48.74	73.38	0	BIZKAIA	357	c. Menos de 5.001	menosde5001
Trucios-Turtzioz	7.99	33.3	0	BIZKAIA	513	c. Menos de 5.001	menosde5001
Ubide	50.89	75.45	100	BIZKAIA	169	c. Menos de 5.001	menosde5001
Ugao-Miraballes	23.64	55.25	95.7	BIZKAIA	4094	c. Menos de 5.001	menosde5001
Urduliz	25.43	61.14	72	BIZKAIA	4955	c. Menos de 5.001	menosde5001
Urduña/Orduña	10.89	43.13	100	BIZKAIA	4178	c. Menos de 5.001	menosde5001
Valle de Trápaga-Trapagaran	11.12	41.94	40.7	BIZKAIA	11760	a. Más de 10.000	másde10000
Zaldibar	33.34	62.68	80	BIZKAIA	3032	c. Menos de 5.001	menosde5001
Zalla	12.46	43.23	79.1	BIZKAIA	8349	b. De 5.001 a 10.000	de5001a10000
Zamudio	30.25	59.26	69.2	BIZKAIA	3223	c. Menos de 5.001	menosde5001
Zaratamo	23.78	56.08	70.6	BIZKAIA	1644	c. Menos de 5.001	menosde5001
Zeanuri	65.94	87.35	100	BIZKAIA	1233	c. Menos de 5.001	menosde5001
Zeberio	53.62	80.21	100	BIZKAIA	1078	c. Menos de 5.001	menosde5001
Zierbena	10.88	44.46	83.3	BIZKAIA	1517	c. Menos de 5.001	menosde5001
Ziortza-Bolibar	80.99	91.35	100	BIZKAIA	426	c. Menos de 5.001	menosde5001
test	0	0	0		0		test
test	100	100	100		0		test
Todos							Todos
Araba							Araba
Gipuzkoa							Gipuzkoa
Bizkaia							Bizkaia
