zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Orendain	79.7	93.52	100	GIPUZKOA	202	c. Menos de 5.001	menosde5001
Orexa	89.66	95.5	100	GIPUZKOA	116	c. Menos de 5.001	menosde5001
Orio	66.51	84.56	92.6	GIPUZKOA	5916	b. De 5.001 a 10.000	de5001a10000
Ormaiztegi	63.18	81.51	100	GIPUZKOA	1301	c. Menos de 5.001	menosde5001
Pasaia	25.62	49.95	75	GIPUZKOA	16629	a. Más de 10.000	másde10000
Segura	75	87.55	100	GIPUZKOA	1484	c. Menos de 5.001	menosde5001
Soraluze-Placencia de las Armas	43.86	68.09	100	GIPUZKOA	3830	c. Menos de 5.001	menosde5001
Tolosa	58.36	75.05	91	GIPUZKOA	19213	a. Más de 10.000	másde10000
Urnieta	42.01	63.41	90.6	GIPUZKOA	6177	b. De 5.001 a 10.000	de5001a10000
Urretxu	44.75	64.75	80.6	GIPUZKOA	6842	b. De 5.001 a 10.000	de5001a10000
Usurbil	59.4	78.07	100	GIPUZKOA	6170	b. De 5.001 a 10.000	de5001a10000
Villabona	56.13	75.09	94.6	GIPUZKOA	5756	b. De 5.001 a 10.000	de5001a10000
Zaldibia	74.02	88.84	100	GIPUZKOA	1582	c. Menos de 5.001	menosde5001
Zarautz	58.31	78.48	92.3	GIPUZKOA	23039	a. Más de 10.000	másde10000
Zegama	73.51	88.55	100	GIPUZKOA	1540	c. Menos de 5.001	menosde5001
Zerain	89.33	94.12	100	GIPUZKOA	253	c. Menos de 5.001	menosde5001
Zestoa	74.42	88.49	100	GIPUZKOA	3730	c. Menos de 5.001	menosde5001
Zizurkil	56.03	73.06	100	GIPUZKOA	2927	c. Menos de 5.001	menosde5001
Zumaia	61.58	79.59	100	GIPUZKOA	9869	b. De 5.001 a 10.000	de5001a10000
Zumarraga	33.82	54.88	65.7	GIPUZKOA	9751	b. De 5.001 a 10.000	de5001a10000
test	0	0	0		0		test
test	100	100	100		0		test
