zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Lemoiz	38.27	70.55	100	BIZKAIA	1262	c. Menos de 5.001	menosde5001
Lezama	46.82	72.77	80	BIZKAIA	2373	c. Menos de 5.001	menosde5001
Loiu	29.49	61.35	71.4	BIZKAIA	2279	c. Menos de 5.001	menosde5001
Mallabia	56.08	77.2	100	BIZKAIA	1168	c. Menos de 5.001	menosde5001
Mañaria	66.92	92.17	100	BIZKAIA	520	c. Menos de 5.001	menosde5001
Markina-Xemein	70.71	87.72	85.7	BIZKAIA	4900	c. Menos de 5.001	menosde5001
Maruri-Jatabe	45.81	73.8	100	BIZKAIA	954	c. Menos de 5.001	menosde5001
Mendata	71.46	90.08	100	BIZKAIA	403	c. Menos de 5.001	menosde5001
Mendexa	73.39	88.15	100	BIZKAIA	466	c. Menos de 5.001	menosde5001
Meñaka	64.2	82.99	100	BIZKAIA	729	c. Menos de 5.001	menosde5001
Morga	73.05	91.36	100	BIZKAIA	423	c. Menos de 5.001	menosde5001
Mundaka	55.48	80.52	100	BIZKAIA	1851	c. Menos de 5.001	menosde5001
Mungia	37.62	66.81	100	BIZKAIA	17151	a. Más de 10.000	másde10000
Munitibar-Arbatzegi Gerrikaitz	75.05	95.09	75	BIZKAIA	473	c. Menos de 5.001	menosde5001
Murueta	71.52	87.03	50	BIZKAIA	302	c. Menos de 5.001	menosde5001
Muskiz	8.88	34.77	41.3	BIZKAIA	7430	b. De 5.001 a 10.000	de5001a10000
Muxika	73.34	90.74	100	BIZKAIA	1429	c. Menos de 5.001	menosde5001
Nabarniz	79.3	92.92	100	BIZKAIA	256	c. Menos de 5.001	menosde5001
Ondarroa	70.59	86.73	100	BIZKAIA	8593	b. De 5.001 a 10.000	de5001a10000
Orozko	41.91	70.14	83.3	BIZKAIA	2689	c. Menos de 5.001	menosde5001
Ortuella	8.22	30.75	39.1	BIZKAIA	8359	b. De 5.001 a 10.000	de5001a10000
Otxandio	57.08	78.14	100	BIZKAIA	1286	c. Menos de 5.001	menosde5001
Plentzia	18.64	50.85	50	BIZKAIA	4425	c. Menos de 5.001	menosde5001
Portugalete	7.52	31.02	33.3	BIZKAIA	46288	a. Más de 10.000	másde10000
Santurtzi	7.37	31.07	43.9	BIZKAIA	45512	a. Más de 10.000	másde10000
Sestao	6.91	29.05	31.9	BIZKAIA	27217	a. Más de 10.000	másde10000
Sondika	22.32	51.51	100	BIZKAIA	4431	c. Menos de 5.001	menosde5001
Sopelana	22.69	53.48	59.8	BIZKAIA	12704	a. Más de 10.000	másde10000
Sopuerta	8.63	29.89	30.8	BIZKAIA	2618	c. Menos de 5.001	menosde5001
Sukarrieta	46.11	72.87	66.7	BIZKAIA	360	c. Menos de 5.001	menosde5001
Trucios-Turtzioz	5.83	25.7	0	BIZKAIA	515	c. Menos de 5.001	menosde5001
Ubide	50	74.67	100	BIZKAIA	176	c. Menos de 5.001	menosde5001
Ugao-Miraballes	22.16	48.82	68.2	BIZKAIA	4084	c. Menos de 5.001	menosde5001
Urduliz	28.17	56.92	72.2	BIZKAIA	4210	c. Menos de 5.001	menosde5001
Urduña/Orduña	9.12	35.57	77.8	BIZKAIA	4113	c. Menos de 5.001	menosde5001
Valle de Trápaga-Trapagaran	8.12	31.84	37.5	BIZKAIA	11861	a. Más de 10.000	másde10000
Zaldibar	35.13	59.14	85.7	BIZKAIA	3060	c. Menos de 5.001	menosde5001
Zalla	9.42	33.22	45.3	BIZKAIA	8367	b. De 5.001 a 10.000	de5001a10000
Zamudio	32.63	59.56	78.3	BIZKAIA	3144	c. Menos de 5.001	menosde5001
Zaratamo	23.46	50.73	64.3	BIZKAIA	1628	c. Menos de 5.001	menosde5001
Zeanuri	68.93	86.71	100	BIZKAIA	1236	c. Menos de 5.001	menosde5001
Zeberio	55.94	81.71	100	BIZKAIA	1069	c. Menos de 5.001	menosde5001
Zierbena	9.47	35	53.3	BIZKAIA	1499	c. Menos de 5.001	menosde5001
Ziortza-Bolibar	84.33	94.39	100	BIZKAIA	453	c. Menos de 5.001	menosde5001
test	0	0	0		0		test
test	100	100	100		0		test
