zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Ibarrangelu	65.02	84.97	100	bizkaia	649	c. Menos de 5.001
Idiazabal	77.95	87.52	85.7	gipuzkoa	2340	c. Menos de 5.001
Igorre	55.17	76.83	100	bizkaia	4156	c. Menos de 5.001
Ikaztegieta	67.3	87.2	100	gipuzkoa	477	c. Menos de 5.001
Iruña Oka/Iruña de Oca	8.61	35.37	58.3	araba	3323	c. Menos de 5.001
Irura	59.75	83.19	100	gipuzkoa	1779	c. Menos de 5.001
Iruraiz-Gauna	12.3	31.98	0	araba	553	c. Menos de 5.001
Ispaster	76.11	94.18	100	bizkaia	720	c. Menos de 5.001
Itsasondo	65.03	82.75	100	gipuzkoa	652	c. Menos de 5.001
Iurreta	34.81	60.02	81.6	bizkaia	3617	c. Menos de 5.001
Izurtza	59.29	85.45	100	bizkaia	253	c. Menos de 5.001
Karrantza Harana/Valle de Carranza	6.92	25.14	36.4	bizkaia	2732	c. Menos de 5.001
Kortezubi	81.52	92.35	100	bizkaia	433	c. Menos de 5.001
Kripan	5.29	24.86	25	araba	189	c. Menos de 5.001
Kuartango	8.49	27.46	0	araba	365	c. Menos de 5.001
Labastida/Bastida	9.9	NA	NA	araba	1495	c. Menos de 5.001
Lagrán	4.09	19.23	50	araba	171	c. Menos de 5.001
Laguardia	6.22	30.81	0	araba	1543	c. Menos de 5.001
Lanciego/Lantziego	6.37	25.89	28.6	araba	691	c. Menos de 5.001
Lanestosa	6.38	25	0	bizkaia	282	c. Menos de 5.001
Lantarón	4.99	23.68	0	araba	921	c. Menos de 5.001
Lapuebla de Labarca	9.38	33.49	25	araba	864	c. Menos de 5.001
Larrabetzu	57.2	82.15	90	bizkaia	2035	c. Menos de 5.001
Larraul	75.2	89.69	100	gipuzkoa	250	c. Menos de 5.001
Laukiz	35.03	65.55	66.7	bizkaia	1196	c. Menos de 5.001
Leaburu	76.03	89.21	100	gipuzkoa	363	c. Menos de 5.001
Legorreta	58.96	76.79	100	gipuzkoa	1479	c. Menos de 5.001
Legutio	21.88	51.47	50	araba	1778	c. Menos de 5.001
