ud_kodea,poblacion,territorio,CPRO,MUN,CMUN,TAMAÑOMUN_INE,TOTAL,LenguaHabitualEuskera,LenguaHabitualCastellano,LenguaHabitualAmbas,LenguaHabitualOtras,LengHabitual_Eus,LengHabitual_Cas,LengHabitual_Ambas,LengHabitual_Otras,LengHabitual_Euskera.Ambas,puestos_normativa_per,puestos_practica_per,PL_Acreditado,Total,Euskaldunes,Eus_Alf,Eus_ParcialAlf,Eus_NoAlf,CuasiEus,CuasiEus_Alf,CuasiEus_NoAlf,CuasiEus_Pasivos,Erdaldunes,Euskaldunes.Alfabetizados,Euskaldunes.Orales.Ágrafos,Euskaldunes.Ulermendun.Belarriprest,Erdaldunes.1,CMUN_char,CPRO_char,habitual_euskera,habitual_solo_euskera,habitual_ambas,habitual_euskera_per,tamaño
48054,31049,BIZKAIA,48,Leioa,54,32.188,31.049,1346,26328,2801,574,"4,34","84,80","9,02","1,85","13,36",42.17,63.6,"59,40",30.218,10.79,9.333,894,563,6.901,4.956,823,1.122,12.527,30.89,4.82,22.84,41.46,054,48,4147,4.34,9.02,13.36,a. Más de 10.000
48057,7206,BIZKAIA,48,Lekeitio,57,7.271,7.206,4706,1758,565,177,"65,31","24,40","7,84","2,46","73,15",88.38,100,"90,30",7.064,5.772,4.993,627,152,515,380,74,61,777,70.68,11.03,7.29,11,057,48,5271,65.31,7.84,73.15,b. De 5.001 a 10.000
48055,3562,BIZKAIA,48,Lemoa,55,3.489,3.562,823,2023,612,104,"23,10","56,79","17,18","2,92","40,29",68.97,81.8,"87,50",3.429,1.938,1.614,198,126,648,439,97,112,843,47.07,9.45,18.9,24.58,055,48,1435,23.1,17.18,40.29,c. Menos de 5.001
48056,1262,BIZKAIA,48,Lemoiz,56,1.297,1.262,252,756,231,23,"19,97","59,90","18,30","1,82","38,27",70.55,100,"14,30",1.218,732,630,74,28,235,151,42,42,251,51.72,8.37,19.29,20.61,056,48,483,19.97,18.3,38.27,c. Menos de 5.001
01034,209,ARABA,1,Leza,34,219,209,6,179,13,11,"2,87","85,65","6,22","5,26","9,09",32.89,0,"33,30",206,51,37,8,6,47,35,2,10,108,17.96,6.8,22.82,52.43,034,01,19,2.87,6.22,9.09,c. Menos de 5.001
48081,2373,BIZKAIA,48,Lezama,81,2.454,2.373,690,1224,421,38,"29,08","51,58","17,74","1,60","46,82",72.77,80,"88,90",2.302,1.545,1.366,132,47,323,234,45,44,434,59.34,7.78,14.03,18.85,081,48,1111,29.08,17.74,46.82,c. Menos de 5.001
20053,6065,GIPUZKOA,20,Lezo,53,6.062,6.065,1764,3240,936,125,"29,08","53,42","15,43","2,06","44,52",66,98.4,"90,30",5.921,3.57,3.094,356,120,1.05,609,216,225,1.301,52.25,8.04,17.73,21.97,053,20,2700,29.08,15.43,44.52,b. De 5.001 a 10.000
20054,643,GIPUZKOA,20,Lizartza,54,625,643,446,139,35,23,"69,36","21,62","5,44","3,58","74,81",90.85,100,"66,70",624,524,442,60,22,42,33,6,3,58,70.83,13.14,6.73,9.29,054,20,481,69.36,5.44,74.81,c. Menos de 5.001
48903,2279,BIZKAIA,48,Loiu,903,2.363,2.279,317,1552,355,55,"13,91","68,10","15,58","2,41","29,49",61.35,71.4,"76,90",2.232,1.106,945,127,34,482,333,69,80,644,42.34,7.21,21.59,28.85,903,48,672,13.91,15.58,29.49,c. Menos de 5.001
48058,1168,BIZKAIA,48,Mallabia,58,1.172,1.168,512,498,143,15,"43,84","42,64","12,24","1,28","56,08",77.2,100,"44,40",1.145,805,686,84,35,171,126,20,25,169,59.91,10.39,14.93,14.76,058,48,655,43.84,12.24,56.08,c. Menos de 5.001
