ud_kodea,poblacion,territorio,CPRO,MUN,CMUN,TAMAÑOMUN_INE,TOTAL,LenguaHabitualEuskera,LenguaHabitualCastellano,LenguaHabitualAmbas,LenguaHabitualOtras,LengHabitual_Eus,LengHabitual_Cas,LengHabitual_Ambas,LengHabitual_Otras,LengHabitual_Euskera.Ambas,puestos_normativa_per,puestos_practica_per,PL_Acreditado,Total,Euskaldunes,Eus_Alf,Eus_ParcialAlf,Eus_NoAlf,CuasiEus,CuasiEus_Alf,CuasiEus_NoAlf,CuasiEus_Pasivos,Erdaldunes,Euskaldunes.Alfabetizados,Euskaldunes.Orales.Ágrafos,Euskaldunes.Ulermendun.Belarriprest,Erdaldunes.1,CMUN_char,CPRO_char,habitual_euskera,habitual_solo_euskera,habitual_ambas,habitual_euskera_per,tamaño
01044,281,ARABA,1,Peñacerrada-Urizaharra,44,299,281,6,259,13,3,"2,14","92,17","4,63","1,07","6,76",25.1,0,"0,00",276,55,51,3,1,42,28,5,9,179,18.48,1.45,15.22,64.86,044,01,19,2.14,4.63,6.76,c. Menos de 5.001
48077,4425,BIZKAIA,48,Plentzia,77,4.414,4.425,311,3515,514,85,"7,03","79,44","11,62","1,92","18,64",50.85,50,"43,50",4.325,1.861,1.628,151,82,965,664,123,178,1.499,37.64,5.39,22.31,34.66,077,48,825,7.03,11.62,18.64,c. Menos de 5.001
48078,46288,BIZKAIA,48,Portugalete,78,45.285,46.288,869,42058,2613,748,"1,88","90,86","5,65","1,62","7,52",31.02,33.3,"32,80",45.43,11.815,10.303,894,618,9.214,6.244,1.135,1.835,24.401,22.68,3.33,20.28,53.71,078,48,3482,1.88,5.65,7.52,a. Más de 10.000
01047,1502,ARABA,1,Ribera Baja/Erribera Beitia,47,1.421,1.502,14,1331,68,89,"0,93","88,62","4,53","5,93","5,46",34.05,0,"0,00",1.472,302,241,42,19,426,309,35,82,744,16.37,4.14,28.94,50.54,047,01,82,0.93,4.53,5.46,c. Menos de 5.001
01052,284,ARABA,1,Samaniego,52,308,284,9,248,14,13,"3,17","87,32","4,93","4,58","8,10",34.92,0,"50,00",281,81,72,4,5,68,42,7,19,132,25.62,3.2,24.2,46.98,052,01,23,3.17,4.93,8.1,c. Menos de 5.001
01053,730,ARABA,1,San Millán/Donemiliaga,53,716,730,23,649,46,12,"3,15","88,90","6,30","1,64","9,45",31.72,50,"33,30",718,228,203,19,6,109,75,16,18,381,28.27,3.48,15.18,53.06,053,01,69,3.15,6.3,9.45,c. Menos de 5.001
48082,45512,BIZKAIA,48,Santurtzi,82,46.085,45.512,791,41358,2562,801,"1,74","90,87","5,63","1,76","7,37",31.07,43.9,"43,70",44.539,11.66,10.015,981,664,9.537,6.579,1.117,1.841,23.342,22.49,3.69,21.41,52.41,082,48,3353,1.74,5.63,7.37,a. Más de 10.000
20070,1484,GIPUZKOA,20,Segura,70,1.461,1.484,989,296,124,75,"66,64","19,95","8,36","5,05","75,00",87.55,100,"100,00",1.433,1.199,1.057,100,42,109,70,18,21,125,73.76,9.91,7.61,8.72,070,20,1113,66.64,8.36,75,c. Menos de 5.001
48084,27217,BIZKAIA,48,Sestao,84,27.342,27.217,418,24691,1462,646,"1,54","90,72","5,37","2,37","6,91",29.05,31.9,"28,40",26.608,6.471,5.561,552,358,5.367,3.671,652,1.044,14.77,20.9,3.42,20.17,55.51,084,48,1880,1.54,5.37,6.91,a. Más de 10.000
48904,4431,BIZKAIA,48,Sondika,904,4.555,4.431,373,3364,616,78,"8,42","75,92","13,90","1,76","22,32",51.51,100,"70,60",4.338,1.898,1.641,179,78,921,647,125,149,1.519,37.83,5.92,21.23,35.02,904,48,989,8.42,13.9,22.32,c. Menos de 5.001
48085,12704,BIZKAIA,48,Sopelana,85,14.276,12.704,1111,9604,1771,218,"8,75","75,60","13,94","1,72","22,69",53.48,59.8,"68,10",12.318,5.769,4.961,536,272,2.971,2.037,407,527,3.578,40.27,6.56,24.12,29.05,085,48,2882,8.75,13.94,22.69,a. Más de 10.000
48086,2618,BIZKAIA,48,Sopuerta,86,2.638,2.618,57,2347,169,45,"2,18","89,65","6,46","1,72","8,63",29.89,30.8,"54,50",2.545,743,643,54,46,546,395,60,91,1.256,25.27,3.93,21.45,49.35,086,48,226,2.18,6.46,8.63,c. Menos de 5.001
20065,3830,GIPUZKOA,20,Soraluze-Placencia de las Armas,65,3.903,3.83,1124,2000,556,150,"29,35","52,22","14,52","3,92","43,86",68.09,100,"80,80",3.726,2.213,1.878,247,88,573,324,128,121,940,50.4,8.99,15.38,25.23,065,20,1680,29.35,14.52,43.86,c. Menos de 5.001
48076,360,BIZKAIA,48,Sukarrieta,76,347,360,110,185,56,9,"30,56","51,39","15,56","2,50","46,11",72.87,66.7,"33,30",357,235,203,25,7,61,39,12,10,61,56.86,8.96,17.09,17.09,076,48,166,30.56,15.56,46.11,c. Menos de 5.001
20071,19213,GIPUZKOA,20,Tolosa,71,19.795,19.213,7670,7424,3543,576,"39,92","38,64","18,44","3,00","58,36",75.05,91,"76,10",18.707,13.271,11.185,1.658,428,2.037,1.144,576,317,3.399,59.79,11.15,10.89,18.17,071,20,11213,39.92,18.44,58.36,a. Más de 10.000
48087,515,BIZKAIA,48,Trucios-Turtzioz,87,502,515,5,477,25,8,"0,97","92,62","4,85","1,55","5,83",25.7,0,"25,00",505,107,86,12,9,108,70,19,19,290,17.03,4.16,21.39,57.43,087,48,30,0.97,4.85,5.83,c. Menos de 5.001
48088,176,BIZKAIA,48,Ubide,88,162,176,49,80,39,8,"27,84","45,45","22,16","4,55","50,00",74.67,100,"50,00",174,114,97,13,4,24,21,2,1,36,55.75,9.77,13.79,20.69,088,48,88,27.84,22.16,50,c. Menos de 5.001
48065,4084,BIZKAIA,48,Ugao-Miraballes,65,4.114,4.084,356,3095,549,84,"8,72","75,78","13,44","2,06","22,16",48.82,68.2,"63,60",3.975,1.725,1.499,153,73,812,531,130,151,1.438,37.71,5.69,20.43,36.18,065,48,905,8.72,13.44,22.16,c. Menos de 5.001
48089,4210,BIZKAIA,48,Urduliz,89,5.034,4.21,614,2953,572,71,"14,58","70,14","13,59","1,69","28,17",56.92,72.2,"53,30",4.053,2.061,1.762,193,106,921,660,96,165,1.071,43.47,7.38,22.72,26.42,089,48,1186,14.58,13.59,28.17,c. Menos de 5.001
48074,4113,BIZKAIA,48,Urduña/Orduña,74,4.199,4.113,100,3654,275,84,"2,43","88,84","6,69","2,04","9,12",35.57,77.8,"64,70",3.993,1.171,1.011,90,70,886,615,106,165,1.936,25.32,4.01,22.19,48.48,074,48,375,2.43,6.69,9.12,c. Menos de 5.001
01054,1364,ARABA,1,Urkabustaiz,54,1.414,1.364,63,1101,138,62,"4,62","80,72","10,12","4,55","14,74",40.94,40,"40,00",1.308,495,434,37,24,273,207,36,30,540,33.18,4.66,20.87,41.28,054,01,201,4.62,10.12,14.74,c. Menos de 5.001
20072,6177,GIPUZKOA,20,Urnieta,72,6.197,6.177,1634,3445,961,137,"26,45","55,77","15,56","2,22","42,01",63.41,90.6,"76,70",6.031,3.642,3.172,321,149,1.026,573,198,255,1.363,52.59,7.79,17.01,22.6,072,20,2595,26.45,15.56,42.01,b. De 5.001 a 10.000
20077,6842,GIPUZKOA,20,Urretxu,77,6.773,6.842,1897,3627,1165,153,"27,73","53,01","17,03","2,24","44,75",64.75,80.6,"77,10",6.71,4.024,3.501,372,151,1.134,671,212,251,1.552,52.18,7.79,16.9,23.13,077,20,3062,27.73,17.03,44.75,b. De 5.001 a 10.000
20073,6170,GIPUZKOA,20,Usurbil,73,6.132,6.17,2700,2369,965,136,"43,76","38,40","15,64","2,20","59,40",78.07,100,"91,80",6.003,4.353,3.738,478,137,668,435,116,117,982,62.27,10.24,11.13,16.36,073,20,3665,43.76,15.64,59.4,b. De 5.001 a 10.000
01055,1039,ARABA,1,Valdegovía/Gaubea,55,1.049,1.039,18,948,43,30,"1,73","91,24","4,14","2,89","5,87",25.57,25,"0,00",1.024,198,176,15,7,172,118,17,37,654,17.19,2.15,16.8,63.87,055,01,61,1.73,4.14,5.87,c. Menos de 5.001
48080,11861,BIZKAIA,48,Valle de Trápaga-Trapagaran,80,11.911,11.861,200,10758,763,140,"1,69","90,70","6,43","1,18","8,12",31.84,37.5,"50,00",11.661,3.452,3.028,254,170,2.332,1.598,290,444,5.877,25.97,3.64,20,50.4,080,48,963,1.69,6.43,8.12,a. Más de 10.000
20075,5756,GIPUZKOA,20,Villabona,75,5.864,5.756,2440,2293,791,232,"42,39","39,84","13,74","4,03","56,13",75.09,94.6,"89,50",5.6,3.79,3.116,551,123,713,492,103,118,1.097,55.64,12.04,12.73,19.59,075,20,3231,42.39,13.74,56.13,b. De 5.001 a 10.000
01057,304,ARABA,1,Villabuena de Álava/Eskuernaga,57,287,304,6,268,13,17,"1,97","88,16","4,28","5,59","6,25",27.6,0,"33,30",300,71,61,7,3,51,27,11,13,178,20.33,3.33,17,59.33,057,01,19,1.97,4.28,6.25,c. Menos de 5.001
01059,242870,ARABA,1,Vitoria-Gasteiz,59,253.093,242.87,5945,210671,15128,11126,"2,45","86,74","6,23","4,58","8,68",36,36.5,"42,90",235.839,64.347,55.556,5.9,2.891,46.364,32.043,5.997,8.324,125.128,23.56,3.73,19.66,53.06,059,01,21073,2.45,6.23,8.68,a. Más de 10.000
01060,270,ARABA,1,Yécora/Iekora,60,266,270,2,244,5,19,"0,74","90,37","1,85","7,04","2,59",24.75,25,"0,00",264,41,33,5,3,42,24,5,13,181,12.5,3.03,15.91,68.56,060,01,7,0.74,1.85,2.59,c. Menos de 5.001
48095,3060,BIZKAIA,48,Zaldibar,95,3.038,3.06,611,1908,464,77,"19,97","62,35","15,16","2,52","35,13",59.14,85.7,"71,40",2.959,1.56,1.317,178,65,547,381,64,102,852,44.51,8.21,18.49,28.79,095,48,1075,19.97,15.16,35.13,c. Menos de 5.001
20078,1582,GIPUZKOA,20,Zaldibia,78,1.636,1.582,1068,337,103,74,"67,51","21,30","6,51","4,68","74,02",88.84,100,"100,00",1.524,1.231,1.003,178,50,119,75,24,20,174,65.81,14.96,7.81,11.42,078,20,1171,67.51,6.51,74.02,c. Menos de 5.001
01061,202,ARABA,1,Zalduondo,61,192,202,17,150,34,1,"8,42","74,26","16,83","0,50","25,25",43.15,50,"100,00",196,83,80,1,2,36,22,9,5,77,40.82,1.53,18.37,39.29,061,01,51,8.42,16.83,25.25,c. Menos de 5.001
48096,8367,BIZKAIA,48,Zalla,96,8.416,8.367,182,7320,606,259,"2,18","87,49","7,24","3,10","9,42",33.22,45.3,"37,30",8.14,2.506,2.183,195,128,1.615,1.111,194,310,4.019,26.82,3.97,19.84,49.37,096,48,788,2.18,7.24,9.42,b. De 5.001 a 10.000
01062,407,ARABA,1,Zambrana,62,432,407,4,368,12,23,"0,98","90,42","2,95","5,65","3,93",21.81,33.3,"33,30",398,70,58,6,6,55,39,5,11,273,14.57,3.02,13.82,68.59,062,01,16,0.98,2.95,3.93,c. Menos de 5.001
48905,3144,BIZKAIA,48,Zamudio,905,3.277,3.144,569,2033,457,85,"18,10","64,66","14,54","2,70","32,63",59.56,78.3,"54,50",3.078,1.513,1.297,161,55,634,459,85,90,931,42.14,7.02,20.6,30.25,905,48,1026,18.1,14.54,32.63,c. Menos de 5.001
48097,1628,BIZKAIA,48,Zaratamo,97,1.647,1.628,168,1218,214,28,"10,32","74,82","13,14","1,72","23,46",50.73,64.3,"28,60",1.596,692,595,61,36,310,232,36,42,594,37.28,6.08,19.42,37.22,097,48,382,10.32,13.14,23.46,c. Menos de 5.001
20079,23039,GIPUZKOA,20,Zarautz,79,23.271,23.039,9375,9103,4060,501,"40,69","39,51","17,62","2,17","58,31",78.48,92.3,"80,40",22.501,16.683,14.512,1.647,524,2.468,1.584,386,498,3.35,64.49,9.65,10.97,14.89,079,20,13435,40.69,17.62,58.31,a. Más de 10.000
48024,1236,BIZKAIA,48,Zeanuri,24,1.248,1.236,735,365,117,19,"59,47","29,53","9,47","1,54","68,93",86.71,100,"100,00",1.21,972,845,105,22,101,78,14,9,137,69.83,10.5,8.35,11.32,024,48,852,59.47,9.47,68.93,c. Menos de 5.001
48025,1069,BIZKAIA,48,Zeberio,25,1.088,1.069,397,460,201,11,"37,14","43,03","18,80","1,03","55,94",81.71,100,"50,00",1.04,762,641,99,22,132,98,17,17,146,61.63,11.63,12.69,14.04,025,48,598,37.14,18.8,55.94,c. Menos de 5.001
20025,1540,GIPUZKOA,20,Zegama,25,1.55,1.54,890,354,242,54,"57,79","22,99","15,71","3,51","73,51",88.55,100,"100,00",1.475,1.228,1.016,163,49,93,61,18,14,154,68.88,14.37,6.31,10.44,025,20,1132,57.79,15.71,73.51,c. Menos de 5.001
20026,253,GIPUZKOA,20,Zerain,26,282,253,221,22,5,5,"87,35","8,70","1,98","1,98","89,33",94.12,100,"100,00",243,226,171,47,8,10,6,2,2,7,70.37,22.63,4.12,2.88,026,20,226,87.35,1.98,89.33,c. Menos de 5.001
20027,3730,GIPUZKOA,20,Zestoa,27,3.769,3.73,2513,809,263,145,"67,37","21,69","7,05","3,89","74,42",88.49,100,"92,60",3.601,2.934,2.623,225,86,251,171,44,36,416,72.84,8.64,6.97,11.55,027,20,2776,67.37,7.05,74.42,c. Menos de 5.001
48913,1499,BIZKAIA,48,Zierbena,913,1.516,1.499,29,1338,113,19,"1,93","89,26","7,54","1,27","9,47",35,53.3,"40,00",1.469,458,389,37,32,306,228,35,43,705,26.48,4.7,20.83,47.99,913,48,142,1.93,7.54,9.47,c. Menos de 5.001
01018,1798,ARABA,1,Zigoitia,18,1.802,1.798,93,1478,175,52,"5,17","82,20","9,73","2,89","14,91",40.05,62.5,"62,50",1.748,640,569,57,14,369,251,60,58,739,32.55,4.06,21.11,42.28,018,01,268,5.17,9.73,14.91,c. Menos de 5.001
48915,453,BIZKAIA,48,Ziortza-Bolibar,915,411,453,346,66,36,5,"76,38","14,57","7,95","1,10","84,33",94.39,100,"100,00",438,385,324,47,14,31,27,2,2,22,73.97,13.93,7.08,5.02,915,48,382,76.38,7.95,84.33,c. Menos de 5.001
20028,2927,GIPUZKOA,20,Zizurkil,28,3.001,2.927,1215,1184,425,103,"41,51","40,45","14,52","3,52","56,03",73.06,100,"73,90",2.839,1.905,1.589,264,52,314,216,36,62,620,55.97,11.13,11.06,21.84,028,20,1640,41.51,14.52,56.03,c. Menos de 5.001
01063,2347,ARABA,1,Zuia,63,2.318,2.347,96,1972,227,52,"4,09","84,02","9,67","2,22","13,76",40.11,36.4,"44,40",2.316,889,817,49,23,476,350,67,59,951,35.28,3.11,20.55,41.06,063,01,323,4.09,9.67,13.76,c. Menos de 5.001
20081,9869,GIPUZKOA,20,Zumaia,81,10.124,9.869,4488,3533,1589,259,"45,48","35,80","16,10","2,62","61,58",79.59,100,"94,50",9.541,7.042,6.045,749,248,1.008,641,191,176,1.491,63.36,10.45,10.56,15.63,081,20,6077,45.48,16.1,61.58,b. De 5.001 a 10.000
20080,9751,GIPUZKOA,20,Zumarraga,80,9.668,9.751,1702,6209,1596,244,"17,45","63,68","16,37","2,50","33,82",54.88,65.7,"74,60",9.526,4.864,4.231,459,174,1.592,960,263,369,3.07,44.42,6.64,16.71,32.23,080,20,3298,17.45,16.37,33.82,b. De 5.001 a 10.000
